province_name,district_name,hospital_code,hospital_name,hospital_type,masks,citizens,matched,unmatched,match_rate_pct
สตูล,ละงู,77707,ศูนย์สุขภาพชุมชนกำแพง,ศูนย์สุขภาพชุมชน ของ รพ.,52,11,52,0,100.0
สตูล,เมืองสตูล,24672,ศูนย์สุขภาพชุมชนศรีพิมาน,ศูนย์บริการสาธารณสุข,19,9,19,0,100.0
สตูล,เมืองสตูล,10746,โรงพยาบาลสตูล,โรงพยาบาลทั่วไป,12,11,12,0,100.0
สตูล,ควนกาหลง,11403,โรงพยาบาลควนกาหลง,โรงพยาบาลชุมชน,11,3,11,0,100.0
สตูล,ละงู,09641,โรงพยาบาลส่งเสริมสุขภาพตำบลน้ำผุด อ.ละงู จ.สตูล,โรงพยาบาลส่งเสริมสุขภาพตำบล,7,2,7,0,100.0
สตูล,ละงู,09636,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านในเมือง ตำบลละงู,โรงพยาบาลส่งเสริมสุขภาพตำบล,6,3,6,0,100.0
สตูล,ควนโดน,11402,โรงพยาบาลควนโดน,โรงพยาบาลชุมชน,4,2,4,0,100.0
สตูล,เมืองสตูล,09604,โรงพยาบาลส่งเสริมสุขภาพตำบลคลองขุด อ.เมืองสตูล จ.สตูล,โรงพยาบาลส่งเสริมสุขภาพตำบล,3,3,3,0,100.0
สตูล,ละงู,09635,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านห้วยไทร ตำบลละงู,โรงพยาบาลส่งเสริมสุขภาพตำบล,3,2,3,0,100.0
สตูล,ทุ่งหว้า,11406,โรงพยาบาลทุ่งหว้า,โรงพยาบาลชุมชน,3,3,3,0,100.0
สตูล,ควนโดน,09621,โรงพยาบาลส่งเสริมสุขภาพตำบลควนโดน,โรงพยาบาลส่งเสริมสุขภาพตำบล,1,1,1,0,100.0
สตูล,เมืองสตูล,77654,โรงพยาบาลส่งเสริมสุขภาพตำบลคลองขุด (สาขา),โรงพยาบาล/ศูนย์บริการสาธารณสุข,1,1,1,0,100.0
สตูล,เมืองสตูล,77708,ศูนย์สุขภาพชุมชนพิมาน,ศูนย์สุขภาพชุมชน ของ รพ.,1,1,1,0,100.0
