rank,region_id,region_name,province_name,district_name,hospital_code,hospital_name,hospital_type,masks,encounters,citizens,masks_per_citizen,answered,unanswered,answered_pct,median_reply_hours,p90_reply_hours,oldest_unanswered_days,matched,unmatched,match_rate_pct,masks_prior_90d,masks_recent_90d,change_90d_pct,share_pct,first_date_be,last_date_be
1,12,เขตสุขภาพที่ 12,สตูล,ละงู,77707,ศูนย์สุขภาพชุมชนกำแพง,ศูนย์สุขภาพชุมชน ของ รพ. / เมือง (ศสม.),46,46,10,4.6,0,46,0.0,,,8.3,46,0,100.0,7,0,-100.0,38.33,25650809,25690323
2,12,เขตสุขภาพที่ 12,สตูล,เมืองสตูล,24672,ศูนย์สุขภาพชุมชนศรีพิมาน,ศูนย์สุขภาพชุมชน ของ รพ. / เมือง (ศสม.),17,17,8,2.12,0,17,0.0,,,7.9,17,0,100.0,1,1,0.0,14.17,25640914,25690421
3,12,เขตสุขภาพที่ 12,สตูล,ควนกาหลง,11403,โรงพยาบาลควนกาหลง,โรงพยาบาลชุมชน,11,11,3,3.67,0,11,0.0,,,9.0,11,0,100.0,3,0,-100.0,9.17,25620329,25690306
4,12,เขตสุขภาพที่ 12,สตูล,เมืองสตูล,10746,โรงพยาบาลสตูล,โรงพยาบาลทั่วไป,10,10,10,1.0,1,9,10.0,0.8,0.8,7.4,10,0,100.0,3,3,0.0,8.33,25650713,25690701
5,12,เขตสุขภาพที่ 12,สตูล,ละงู,09641,โรงพยาบาลส่งเสริมสุขภาพตำบลน้ำผุด,โรงพยาบาลส่งเสริมสุขภาพตำบล,9,9,3,3.0,7,2,77.8,65.3,65.5,0.5,9,0,100.0,0,1,,7.5,25660503,25690521
6,12,เขตสุขภาพที่ 12,สตูล,ละงู,09636,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านในเมือง ตำบลละงู,โรงพยาบาลส่งเสริมสุขภาพตำบล,8,8,4,2.0,0,8,0.0,,,7.0,8,0,100.0,3,0,-100.0,6.67,25670223,25690320
7,12,เขตสุขภาพที่ 12,สตูล,ควนโดน,11402,โรงพยาบาลควนโดน,โรงพยาบาลชุมชน,5,5,3,1.67,5,0,100.0,121.7,146.2,,5,0,100.0,0,3,,4.17,25680404,25690720
8,12,เขตสุขภาพที่ 12,สตูล,ทุ่งหว้า,11406,โรงพยาบาลทุ่งหว้า,โรงพยาบาลชุมชน,3,3,3,1.0,3,0,100.0,135.2,164.0,,3,0,100.0,0,1,,2.5,25660829,25690717
9,12,เขตสุขภาพที่ 12,สตูล,เมืองสตูล,09604,โรงพยาบาลส่งเสริมสุขภาพตำบลคลองขุด,โรงพยาบาลส่งเสริมสุขภาพตำบล,3,3,3,1.0,0,3,0.0,,,7.9,3,0,100.0,0,0,,2.5,25670713,25670714
10,12,เขตสุขภาพที่ 12,สตูล,ละงู,09635,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านห้วยไทร ตำบลละงู,ศูนย์บริการสาธารณสุข อปท.,3,3,2,1.5,0,3,0.0,,,5.4,3,0,100.0,1,0,-100.0,2.5,25680401,25690325
11,12,เขตสุขภาพที่ 12,สตูล,เมืองสตูล,77708,ศูนย์สุขภาพชุมชนพิมาน,ศูนย์สุขภาพชุมชน ของ รพ. / เมือง (ศสม.),2,2,2,1.0,0,2,0.0,,,7.9,2,0,100.0,0,0,,1.67,25660918,25661016
12,12,เขตสุขภาพที่ 12,สตูล,เมืองสตูล,77654,โรงพยาบาลส่งเสริมสุขภาพตำบลคลองขุด (สาขา),โรงพยาบาล/ศูนย์บริการสาธารณสุข สาขา,1,1,1,1.0,0,1,0.0,,,8.3,1,0,100.0,0,0,,0.83,25671228,25671228
13,12,เขตสุขภาพที่ 12,สตูล,ควนโดน,09621,โรงพยาบาลส่งเสริมสุขภาพตำบลควนโดน,โรงพยาบาลส่งเสริมสุขภาพตำบล,1,1,1,1.0,1,0,100.0,0.1,0.1,,1,0,100.0,0,0,,0.83,25670613,25670613
14,12,เขตสุขภาพที่ 12,สตูล,เมืองสตูล,09616,โรงพยาบาลส่งเสริมสุขภาพตำบลตำมะลัง,โรงพยาบาลส่งเสริมสุขภาพตำบล,1,1,1,1.0,0,1,0.0,,,1.1,1,0,100.0,0,0,,0.83,25680308,25680308
