rank,region_id,region_name,province_name,district_name,hospital_code,hospital_name,hospital_type,masks,encounters,citizens,masks_per_citizen,answered,unanswered,answered_pct,median_reply_hours,p90_reply_hours,oldest_unanswered_days,matched,unmatched,match_rate_pct,masks_prior_90d,masks_recent_90d,change_90d_pct,share_pct,first_date_be,last_date_be,status_pending,status_in_progress,status_completed,status_no_error_found,status_not_recorded,status_unexpected_code,action_none_yet,action_data_corrected,action_other,action_not_recorded,action_unexpected_code
1,12,เขตสุขภาพที่ 12,สตูล,ละงู,77707,ศูนย์สุขภาพชุมชนกำแพง,ศูนย์สุขภาพชุมชน ของ รพ. / เมือง (ศสม.),48,48,11,4.36,48,0,100.0,256.8,310.2,,48,0,100.0,8,0,-100.0,34.53,25650809,25690323,48,0,0,0,0,0,47,1,0,0,0
2,12,เขตสุขภาพที่ 12,สตูล,เมืองสตูล,24672,ศูนย์สุขภาพชุมชนศรีพิมาน,ศูนย์สุขภาพชุมชน ของ รพ. / เมือง (ศสม.),17,17,8,2.12,17,0,100.0,528.8,563.8,,17,0,100.0,1,1,0.0,12.23,25640914,25690421,0,0,17,0,0,0,0,0,17,0,0
3,12,เขตสุขภาพที่ 12,สตูล,เมืองสตูล,10746,โรงพยาบาลสตูล,โรงพยาบาลทั่วไป,12,12,12,1.0,11,1,91.7,183.2,211.7,11.2,12,0,100.0,3,4,33.3,8.63,25650713,25690701,1,0,0,11,0,0,1,0,11,0,0
4,12,เขตสุขภาพที่ 12,สตูล,ควนกาหลง,11403,โรงพยาบาลควนกาหลง,โรงพยาบาลชุมชน,11,11,3,3.67,10,1,90.9,520.6,547.2,28.1,11,0,100.0,3,0,-100.0,7.91,25620329,25690306,0,10,1,0,0,0,0,0,11,0,0
5,12,เขตสุขภาพที่ 12,สตูล,ละงู,09636,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านในเมือง ตำบลละงู,โรงพยาบาลส่งเสริมสุขภาพตำบล,11,11,5,2.2,11,0,100.0,480.1,491.7,,11,0,100.0,3,0,-100.0,7.91,25670223,25690320,11,0,0,0,0,0,11,0,0,0,0
6,12,เขตสุขภาพที่ 12,สตูล,ละงู,09641,โรงพยาบาลส่งเสริมสุขภาพตำบลน้ำผุด,โรงพยาบาลส่งเสริมสุขภาพตำบล,9,9,3,3.0,9,0,100.0,563.1,563.1,,9,0,100.0,0,1,,6.47,25660503,25690521,0,0,7,2,0,0,0,0,9,0,0
7,12,เขตสุขภาพที่ 12,สตูล,ทุ่งหว้า,11406,โรงพยาบาลทุ่งหว้า,โรงพยาบาลชุมชน,8,8,4,2.0,3,5,37.5,164.0,166.9,12.1,8,0,100.0,1,1,0.0,5.76,25660314,25690717,0,0,8,0,0,0,0,5,3,0,0
8,12,เขตสุขภาพที่ 12,สตูล,ควนโดน,11402,โรงพยาบาลควนโดน,โรงพยาบาลชุมชน,5,5,3,1.67,5,0,100.0,217.7,220.9,,5,0,100.0,0,3,,3.6,25680404,25690720,0,0,5,0,0,0,5,0,0,0,0
9,12,เขตสุขภาพที่ 12,สตูล,เมืองสตูล,09604,โรงพยาบาลส่งเสริมสุขภาพตำบลคลองขุด,โรงพยาบาลส่งเสริมสุขภาพตำบล,4,4,4,1.0,4,0,100.0,541.7,562.3,,4,0,100.0,0,0,,2.88,25670713,25670718,0,0,4,0,0,0,4,0,0,0,0
10,12,เขตสุขภาพที่ 12,สตูล,ละงู,09639,โรงพยาบาลส่งเสริมสุขภาพตำบลปากน้ำ,โรงพยาบาลส่งเสริมสุขภาพตำบล,4,4,1,4.0,4,0,100.0,84.6,84.6,,4,0,100.0,0,0,,2.88,25660201,25681229,0,4,0,0,0,0,0,0,4,0,0
